donation_id,entity_id,fundraiser_id,amount,donation_date,donation_type,occupant_full_name,donor_type,earmarked_fund,center,notes
FAM0043-20080103-0002,FAM0043,Letter Campaign 2007,1000.00,2008-01-03,Direct Donation,Eden Taylor 1315,Personal,Unrestricted,Corporate,
FAM0043-20080728-0001,FAM0043,Phoneraiser 2008,250.00,2008-07-28,Direct Donation,Milan Torres 1157,Personal,Unrestricted,Corporate,
FAM0043-20081222-0001,FAM0043,Letter Campaign 2008,2500.00,2008-12-22,Direct Donation,Milan Torres 1157,Personal,Unrestricted,Corporate,
FAM0043-20090102-0001,FAM0043,Letter Campaign 2008,2000.00,2009-01-02,Direct Donation,Eden Taylor 1315,Personal,Unrestricted,Corporate,
FAM0043-20091215-0001,FAM0043,Letter Campaign 2009,5000.00,2009-12-15,Direct Donation,Milan Torres 1157,Personal,Unrestricted,Corporate,
FAM0043-20100127-0001,FAM0043,Letter Campaign 2009,1000.00,2010-01-27,Direct Donation,Eden Taylor 1315,Personal,Unrestricted,Corporate,
FAM0043-20101223-0001,FAM0043,Letter Campaign 2010,5000.00,2010-12-23,Direct Donation,Milan Torres 1157,Personal,Unrestricted,Corporate,
FAM0043-20110126-0001,FAM0043,Letter Campaign 2010,1500.00,2011-01-26,Direct Donation,Eden Taylor 1315,Personal,Unrestricted,Corporate,
FAM0043-20111223-0001,FAM0043,Letter Campaign 2011,5000.00,2011-12-23,Direct Donation,Milan Torres 1157,Personal,Unrestricted,Corporate,
FAM0043-20120110-0001,FAM0043,Letter Campaign 2011,1500.00,2012-01-10,Direct Donation,Eden Taylor 1315,Personal,Unrestricted,Corporate,
FAM0043-20121226-0001,FAM0043,Letter Campaign 2012,5000.00,2012-12-26,Direct Donation,Milan Torres 1157,Personal,Unrestricted,Corporate,
FAM0043-20130107-0001,FAM0043,Letter Campaign 2012,1000.00,2013-01-07,Direct Donation,Eden Taylor 1315,Personal,Unrestricted,Corporate,
FAM0043-20131218-0001,FAM0043,Letter Campaign 2013,5000.00,2013-12-18,Direct Donation,Milan Torres 1157,Personal,Unrestricted,Corporate,
FAM0043-20141222-0001,FAM0043,Letter Campaign 2014,5000.00,2014-12-22,Direct Donation,Milan Torres 1157,Personal,Unrestricted,Corporate,
FAM0043-20150311-0001,FAM0043,Unprompted,1000.00,2015-03-11,Direct Donation,Eden Taylor 1315,Personal,Unrestricted,Corporate,
FAM0043-20150629-0001,FAM0043,Music Class Fundraiser,65.00,2015-06-29,Direct Donation,Milan Torres 1157,Personal,Unrestricted,LCV,
FAM0043-20151224-0001,FAM0043,Letter Campaign 2015,5000.00,2015-12-24,Direct Donation,Milan Torres 1157,Personal,Unrestricted,Corporate,
FAM0043-20160119-0001,FAM0043,Letter Campaign 2015,1000.00,2016-01-19,Direct Donation,Eden Taylor 1315,Personal,Unrestricted,Corporate,
FAM0043-20160329-0001,FAM0043,Letter Campaign 2015,1000.00,2016-03-29,Direct Donation,Milan Torres 1157,Personal,Unrestricted,LCV,
FAM0043-20170118-0001,FAM0043,Pat Griffith Scholarship Fund Creation,5000.00,2017-01-18,Direct Donation,Eden Taylor 1315,Personal,PGSF,Corporate,
FAM0043-20180910-0001,FAM0043,In Pat's Memory,10000.00,2018-09-10,Direct Donation,Eden Taylor 1315,Personal,PGSF,Corporate,
FAM0043-20191107-0001,FAM0043,In Pat's Memory,10000.00,2019-11-07,Direct Donation,Eden Taylor 1315,Personal,PGSF,Corporate,
FAM0043-20201231-0001,FAM0043,In Pat's Memory,10000.00,2020-12-31,Direct Donation,Eden Taylor 1315,Personal,Unrestricted,Corporate,
FAM0043-20211231-0001,FAM0043,In Pat's Memory,10000.00,2021-12-31,Direct Donation,Eden Taylor 1315,Personal,Unrestricted,Corporate,
FAM0043-20240430-0001,FAM0043,Blake's Mailer,511.66,2024-04-30,In-Kind (Printing Costs),Blake Scott 824,Personal,Unrestricted,Corporate,
FAM0053-20200127-0001,FAM0053,Training and Staff Development; CAAEYC 2020,100.00,2020-01-27,Direct Donation,Alex Murphy 840,Personal,Unrestricted,HP,
FAM0063-20200128-0001,FAM0063,Training and Staff Development; CAAEYC 2020,100.00,2020-01-28,Direct Donation,Sawyer Nguyen 999,Personal,Unrestricted,HP,
FAM0067-20200229-0001,FAM0067,Training and Staff Development; CAAEYC 2020,40.00,2020-02-29,Direct Donation,Brooklyn Rivera 594,Personal,Unrestricted,HP,
FAM0075-20161203-0001,FAM0075,Pat Griffith Scholarship Fund Creation,25.00,2016-12-03,Direct Donation,Kendall Clark 472,Personal,PGSF,Corporate,
FAM0084-20150623-0001,FAM0084,Music Class Fundraiser,50.00,2015-06-23,Direct Donation,Jamie Mitchell 406,Personal,Unrestricted,LCV,
FAM0105-20161227-0001,FAM0105,Pat Griffith Scholarship Fund Creation,100.00,2016-12-27,Direct Donation,Harper Thompson 695,Personal,PGSF,Corporate,
FAM0157-20200221-0001,FAM0157,Training and Staff Development; CAAEYC 2020,100.00,2020-02-21,Direct Donation,Jordan Rivera 266,Personal,Unrestricted,LCV,
FAM0161-20161207-0001,FAM0161,Pat Griffith Scholarship Fund Creation,400.00,2016-12-07,Direct Donation,Brooklyn Phillips 1154,Personal,PGSF,Corporate,
FAM0161-20171222-0001,FAM0161,PGSF Letter Campaign 2017,100.00,2017-12-22,Direct Donation,Brooklyn Phillips 1154,Personal,PGSF,Corporate,
FAM0161-20190125-0001,FAM0161,In Pat's Memory,200.00,2019-01-25,Direct Donation,Brooklyn Phillips 1154,Personal,PGSF,Corporate,
FAM0177-20111229-0001,FAM0177,Letter Campaign 2011,150.00,2011-12-29,Direct Donation,Corey Walker 867,Personal,Unrestricted,Corporate,
FAM0177-20121211-0001,FAM0177,Birthday Fundraiser,150.00,2012-12-11,Direct Donation,Taylor Wright 642,Personal,Unrestricted,LCV,
FAM0177-20121228-0001,FAM0177,Letter Campaign 2012,300.00,2012-12-28,Direct Donation,Corey Walker 867,Personal,Unrestricted,Corporate,
FAM0177-20131218-0001,FAM0177,Birthday Fundraiser,150.00,2013-12-18,Direct Donation,Taylor Wright 642,Personal,Unrestricted,LCV,
FAM0177-20131218-0002,FAM0177,Letter Campaign 2013,300.00,2013-12-18,Direct Donation,Taylor Wright 642,Personal,Unrestricted,Corporate,
FAM0177-20150526-0001,FAM0177,Music Class Fundraiser,160.00,2015-05-26,Direct Donation,Corey Walker 867,Personal,Unrestricted,LCV,
FAM0184-20190125-0001,FAM0184,In Pat's Memory,50.00,2019-01-25,Direct Donation,Sam Collins 285,Personal,PGSF,Corporate,
FAM0188-20200124-0001,FAM0188,Training and Staff Development; CAAEYC 2020,100.00,2020-01-24,Direct Donation,Harper Adams 1375,Personal,Unrestricted,HP,
FAM0206-20200128-0001,FAM0206,Training and Staff Development; CAAEYC 2020,250.00,2020-01-28,Direct Donation,Shannon Morris 1308,Personal,Unrestricted,HP,
FAM0219-20200128-0001,FAM0219,Training and Staff Development; CAAEYC 2020,100.00,2020-01-28,Direct Donation,Phoenix Thompson 718,Personal,Unrestricted,LCV,
FAM0223-20130311-0001,FAM0223,Letter Campaign 2012,100.00,2013-03-11,Direct Donation,Blake Stewart 1424,Personal,Unrestricted,Corporate,
FAM0223-20131222-0001,FAM0223,Letter Campaign 2013,250.00,2013-12-22,Direct Donation,Blake Stewart 1424,Personal,Unrestricted,Corporate,
FAM0223-20141231-0001,FAM0223,Letter Campaign 2014,200.00,2014-12-31,Direct Donation,Blake Stewart 1424,Personal,Unrestricted,Corporate,
FAM0223-20161231-0001,FAM0223,Pat Griffith Scholarship Fund Creation,300.00,2016-12-31,Direct Donation,Blake Stewart 1424,Personal,PGSF,Corporate,
FAM0223-20171231-0001,FAM0223,PGSF Letter Campaign 2017,250.00,2017-12-31,Direct Donation,Blake Stewart 1424,Personal,PGSF,Corporate,
FAM0223-20190125-0001,FAM0223,In Pat's Memory,250.00,2019-01-25,Direct Donation,Blake Stewart 1424,Personal,PGSF,Corporate,
FAM0237-20200115-0001,FAM0237,Training and Staff Development; CAAEYC 2020,100.00,2020-01-15,Direct Donation,Robin Lopez 1061,Personal,Unrestricted,HP,
FAM0247-20161031-0001,FAM0247,Halloween Party,100.00,2016-10-31,Direct Donation,Elliot Clark 1374,Personal,Unrestricted,LCV,
FAM0254-20200227-0001,FAM0254,Training and Staff Development; CAAEYC 2020,50.00,2020-02-27,Direct Donation,Hunter Wright 669,Personal,Unrestricted,HP,
FAM0267-20200128-0001,FAM0267,Training and Staff Development; CAAEYC 2020,50.00,2020-01-28,Direct Donation,Alex Edwards 920,Personal,Unrestricted,LCV,
FAM0288-20170125-0001,FAM0288,Pat Griffith Scholarship Fund Creation,100.00,2017-01-25,Direct Donation,Logan Scott 138,Personal,PGSF,Corporate,
FAM0301-20200124-0001,FAM0301,Training and Staff Development; CAAEYC 2020,50.00,2020-01-24,Direct Donation,Eden Collins 275,Personal,Unrestricted,HP,
FAM0340-20100202-0001,FAM0340,Letter Campaign 2009,100.00,2010-02-02,Direct Donation,Taylor Walker 922,Personal,Unrestricted,Corporate,
FAM0340-20110117-0001,FAM0340,Letter Campaign 2010,100.00,2011-01-17,Direct Donation,Drew Lewis 1287,Personal,Unrestricted,Corporate,
FAM0340-20111227-0001,FAM0340,Letter Campaign 2011,100.00,2011-12-27,Direct Donation,Taylor Walker 922,Personal,Unrestricted,Corporate,
FAM0340-20161231-0001,FAM0340,Pat Griffith Scholarship Fund Creation,200.00,2016-12-31,Direct Donation,Drew Lewis 1287,Personal,PGSF,Corporate,
FAM0340-20171228-0001,FAM0340,PGSF Letter Campaign 2017,200.00,2017-12-28,Direct Donation,Taylor Walker 922,Personal,PGSF,Corporate,
FAM0340-20181228-0001,FAM0340,In Pat's Memory,200.00,2018-12-28,Direct Donation,Drew Lewis 1287,Personal,PGSF,Corporate,
FAM0340-20191227-0001,FAM0340,In Pat's Memory,200.00,2019-12-27,Direct Donation,Taylor Walker 922,Personal,PGSF,Corporate,
FAM0345-20131220-0001,FAM0345,Letter Campaign 2013,100.00,2013-12-20,Direct Donation,Logan Stewart 978,Personal,Unrestricted,Corporate,
FAM0345-20141218-0001,FAM0345,Letter Campaign 2014,100.00,2014-12-18,Direct Donation,Jesse Wright 177,Personal,Unrestricted,Corporate,
FAM0345-20160205-0001,FAM0345,Letter Campaign 2015,100.00,2016-02-05,Direct Donation,Logan Stewart 978,Personal,Unrestricted,Corporate,
FAM0347-20200127-0001,FAM0347,Training and Staff Development; CAAEYC 2020,100.00,2020-01-27,Direct Donation,Robin Edwards 381,Personal,Unrestricted,HP,
FAM0347-20200229-0001,FAM0347,Training and Staff Development; CAAEYC 2020,20.00,2020-02-29,Direct Donation,Robin Edwards 381,Personal,Unrestricted,HP,
FAM0376-20200128-0001,FAM0376,Training and Staff Development; CAAEYC 2020,50.00,2020-01-28,Direct Donation,Spencer Clark 550,Personal,Unrestricted,HP,
FAM0378-20200116-0001,FAM0378,Training and Staff Development; CAAEYC 2020,100.00,2020-01-16,Direct Donation,Jordan Campbell 146,Personal,Unrestricted,LCV,
FAM0415-20140312-0001,FAM0415,Letter Campaign 2013,150.00,2014-03-12,Direct Donation,Phoenix Harris 598,Personal,Unrestricted,LCV,
FAM0442-20200131-0001,FAM0442,Training and Staff Development; CAAEYC 2020,100.00,2020-01-31,Direct Donation,Harper Rivera 295,Personal,Unrestricted,HP,
FAM0447-20161109-0001,FAM0447,Cafe Wednesdays,100.00,2016-11-09,Direct Donation,Reese Hall 271,Personal,Unrestricted,LCV,
FAM0457-20150520-0001,FAM0457,Music Class Fundraiser,130.00,2015-05-20,Direct Donation,Quinn Cook 1168,Personal,Unrestricted,LCV,
FAM0457-20161202-0001,FAM0457,Pat Griffith Scholarship Fund Creation,100.00,2016-12-02,Direct Donation,Blake Carter 304,Personal,Unrestricted,LCV,
FAM0464-20161014-0001,FAM0464,Music Class Fundraiser,90.00,2016-10-14,Direct Donation,Parker Young 1139,Personal,Unrestricted,LCV,
FAM0464-20161220-0001,FAM0464,Pat Griffith Scholarship Fund Creation,20.00,2016-12-20,Direct Donation,Avery Young 1052,Personal,Unrestricted,LCV,
FAM0468-20161208-0001,FAM0468,Cafe Wednesdays,200.00,2016-12-08,Direct Donation,Quinn Martin 1779,Personal,Unrestricted,LCV,
FAM0491-20190125-0001,FAM0491,In Pat's Memory,50.00,2019-01-25,Direct Donation,Harper Harris 855,Personal,PGSF,Corporate,
FAM0491-20200130-0001,FAM0491,Training and Staff Development; CAAEYC 2020,500.00,2020-01-30,Direct Donation,Harper Harris 855,Personal,Unrestricted,HP,
FAM0502-20150813-0001,FAM0502,Music Class Fundraiser,500.00,2015-08-13,Direct Donation,Morgan Mitchell 443,Personal,Unrestricted,LCV,
FAM0520-20150506-0001,FAM0520,Music Class Fundraiser,130.00,2015-05-06,Direct Donation,Avery Hall 252,Personal,Unrestricted,LCV,
FAM0532-20181227-0001,FAM0532,In Pat's Memory,1000.00,2018-12-27,Direct Donation,Robin Wright 181,Personal,PGSF,LCV,
FAM0542-20161101-0001,FAM0542,Unprompted,90.00,2016-11-01,Direct Donation,Jesse Thomas 217,Personal,Unrestricted,LCV,
FAM0618-20150617-0001,FAM0618,Music Class Fundraiser,80.00,2015-06-17,Direct Donation,Taylor Cook 82,Personal,Unrestricted,LCV,
FAM0618-20161208-0001,FAM0618,Cafe Wednesdays,100.00,2016-12-08,Direct Donation,Jesse Evans 297,Personal,Unrestricted,LCV,
FAM0631-20150514-0001,FAM0631,Music Class Fundraiser,100.00,2015-05-14,Direct Donation,Eden Rivera 155,Personal,Unrestricted,LCV,
FAM0631-20160105-0001,FAM0631,Letter Campaign 2015,50.00,2016-01-05,Direct Donation,Eden Rivera 155,Personal,Unrestricted,LCV,
FAM0631-20161018-0001,FAM0631,Music Class Fundraiser,150.00,2016-10-18,Direct Donation,Eden Rivera 155,Personal,Unrestricted,LCV,
FAM0638-20061222-0001,FAM0638,Letter Campaign 2006,100.00,2006-12-22,Direct Donation,Jamie Stewart 646,Personal,Unrestricted,Corporate,
FAM0638-20080103-0001,FAM0638,Letter Campaign 2007,100.00,2008-01-03,Direct Donation,Jamie Stewart 646,Personal,Unrestricted,Corporate,
FAM0638-20081222-0001,FAM0638,Letter Campaign 2008,100.00,2008-12-22,Direct Donation,Jamie Stewart 646,Personal,Unrestricted,Corporate,
FAM0638-20091231-0001,FAM0638,Letter Campaign 2009,100.00,2009-12-31,Direct Donation,Jamie Stewart 646,Personal,Unrestricted,Corporate,
FAM0638-20120113-0001,FAM0638,Letter Campaign 2011,100.00,2012-01-13,Direct Donation,Jamie Stewart 646,Personal,Unrestricted,Corporate,
FAM0638-20161218-0001,FAM0638,Pat Griffith Scholarship Fund Creation,100.00,2016-12-18,Direct Donation,Jamie Stewart 646,Personal,PGSF,Corporate,
FAM0638-20171221-0001,FAM0638,PGSF Letter Campaign 2017,100.00,2017-12-21,Direct Donation,Jamie Stewart 646,Personal,PGSF,Corporate,
FAM0640-20241211-0001,FAM0640,Appeal Letter 2025,2.38,2024-12-11,Direct Donation,Spencer Johnson 990,Personal,Unrestricted,Corporate,
FAM0659-20161201-0001,FAM0659,Pat Griffith Scholarship Fund Creation,25.00,2016-12-01,Direct Donation,Sam Anderson 659,Personal,PGSF,Corporate,
FAM0662-20170103-0001,FAM0662,Pat Griffith Scholarship Fund Creation,100.00,2017-01-03,Direct Donation,Sydney Clark 260,Personal,PGSF,Corporate,
FAM0664-20150513-0001,FAM0664,Music Class Fundraiser,65.00,2015-05-13,Direct Donation,Dylan Clark 1303,Personal,Unrestricted,LCV,
FAM0666-20240525-0001,FAM0666,Blake's Mailer,20.00,2024-05-25,Direct Donation,Spencer Perez 950,Personal,Unrestricted,Corporate,
FAM0669-20150506-0001,FAM0669,Music Class Fundraiser,65.00,2015-05-06,Direct Donation,Dylan Stewart 183,Personal,Unrestricted,LCV,
FAM0673-20080131-0001,FAM0673,Letter Campaign 2007,50.00,2008-01-31,Direct Donation,Sydney Wright 1340,Personal,Unrestricted,Corporate,
FAM0678-20190712-0001,FAM0678,Sun & Fun Family Picnic 2019,50.00,2019-07-12,Direct Donation,Dylan Walker 103,Personal,Unrestricted,LCV,
FAM0678-20200128-0001,FAM0678,Training and Staff Development; CAAEYC 2020,100.00,2020-01-28,Direct Donation,Payton Young 945,Personal,Unrestricted,LCV,
FAM0690-20200130-0001,FAM0690,Training and Staff Development; CAAEYC 2020,50.00,2020-01-30,Direct Donation,Alex Morris 1200,Personal,Unrestricted,LCV,
FAM0694-20150823-0001,FAM0694,Music Class Fundraiser,100.00,2015-08-23,Direct Donation,Logan Thompson 1258,Personal,Unrestricted,LCV,
FAM0709-20200131-0001,FAM0709,Training and Staff Development; CAAEYC 2020,50.00,2020-01-31,Direct Donation,Avery Roberts 452,Personal,Unrestricted,LCV,
FAM0709-20200201-0001,FAM0709,Training and Staff Development; CAAEYC 2020,20.00,2020-02-01,Direct Donation,Avery Roberts 452,Personal,Unrestricted,JP,
FAM0715-20150508-0001,FAM0715,Music Class Fundraiser,150.00,2015-05-08,Direct Donation,Robin Carter 301,Personal,Unrestricted,LCV,
FAM0715-20161027-0001,FAM0715,Halloween Party,200.00,2016-10-27,Direct Donation,Robin Carter 301,Personal,Unrestricted,LCV,
FAM0743-20161024-0001,FAM0743,Music Class Fundraiser,90.00,2016-10-24,Direct Donation,Alex Cook 480,Personal,Unrestricted,LCV,
FAM0760-20161014-0001,FAM0760,Music Class Fundraiser,90.00,2016-10-14,Direct Donation,Dylan Smith 463,Personal,Unrestricted,LCV,
FAM0765-20161026-0001,FAM0765,Halloween Party,90.00,2016-10-26,Direct Donation,Jordan Morris 1081,Personal,Unrestricted,LCV,
FAM0806-20150506-0001,FAM0806,Music Class Fundraiser,45.00,2015-05-06,Direct Donation,Dakota Phillips 1056,Personal,Unrestricted,LCV,
FAM0806-20161220-0001,FAM0806,Pat Griffith Scholarship Fund Creation,95.00,2016-12-20,Direct Donation,Dakota Phillips 1056,Personal,Unrestricted,LCV,
FAM0818-20150701-0001,FAM0818,Music Class Fundraiser,65.00,2015-07-01,Direct Donation,Riley Walker 1210,Personal,Unrestricted,LCV,
FAM0818-20161222-0001,FAM0818,Pat Griffith Scholarship Fund Creation,125.00,2016-12-22,Direct Donation,Aubrey Lewis 193,Personal,Unrestricted,LCV,
FAM0818-20190426-0001,FAM0818,Unprompted,425.00,2019-04-26,Direct Donation,Riley Walker 1210,Personal,Unrestricted,LCV,
FAM0818-20200130-0001,FAM0818,Training and Staff Development; CAAEYC 2020,100.00,2020-01-30,Direct Donation,Riley Walker 1210,Personal,Unrestricted,LCV,
FAM0822-20200228-0001,FAM0822,Training and Staff Development; CAAEYC 2020,50.00,2020-02-28,Direct Donation,Cameron Campbell 251,Personal,Unrestricted,HP,
FAM0881-20131230-0001,FAM0881,Letter Campaign 2013,200.00,2013-12-30,Direct Donation,Skylar Morris 809,Personal,Unrestricted,Corporate,
FAM0881-20141222-0001,FAM0881,Letter Campaign 2014,200.00,2014-12-22,Direct Donation,Skylar Morris 809,Personal,Unrestricted,Corporate,
FAM0881-20151231-0001,FAM0881,Letter Campaign 2015,200.00,2015-12-31,Direct Donation,Skylar Morris 809,Personal,Unrestricted,Corporate,
FAM0881-20161222-0001,FAM0881,Pat Griffith Scholarship Fund Creation,50.00,2016-12-22,Direct Donation,Skylar Morris 809,Personal,PGSF,Corporate,
FAM0881-20240610-0001,FAM0881,Blake's Mailer,100.00,2024-06-10,Direct Donation,Skylar Morris 809,Personal,Unrestricted,Corporate,
FAM0883-20120330-0001,FAM0883,Noise Remediation Fundraiser,12.50,2012-03-30,Direct Donation,Robin Flores 1021,Personal,Unrestricted,LCV,
FAM0896-20200213-0001,FAM0896,Training and Staff Development; CAAEYC 2020,25.00,2020-02-13,Direct Donation,Emerson Mitchell 382,Personal,Unrestricted,HP,
FAM0902-20061222-0001,FAM0902,Letter Campaign 2006,200.00,2006-12-22,Direct Donation,Payton White 1385,Personal,Unrestricted,Corporate,
FAM0902-20071120-0001,FAM0902,Letter Campaign 2007,250.00,2007-11-20,Direct Donation,Payton White 1385,Personal,Unrestricted,Corporate,
FAM0902-20080728-0001,FAM0902,Phoneraiser 2008,200.00,2008-07-28,Direct Donation,Payton White 1385,Personal,Unrestricted,Corporate,
FAM0902-20081222-0001,FAM0902,Letter Campaign 2008,500.00,2008-12-22,Direct Donation,Payton White 1385,Personal,Unrestricted,Corporate,
FAM0902-20110531-0001,FAM0902,Noise Remediation Fundraiser,900.00,2011-05-31,Direct Donation,Payton White 1385,Personal,Unrestricted,Corporate,
FAM0902-20110630-0001,FAM0902,Noise Remediation Fundraiser,100.00,2011-06-30,Direct Donation,Payton White 1385,Personal,Unrestricted,Corporate,
FAM0902-20110731-0001,FAM0902,Noise Remediation Fundraiser,200.00,2011-07-31,Direct Donation,Payton White 1385,Personal,Unrestricted,Corporate,
FAM0902-20110831-0001,FAM0902,Noise Remediation Fundraiser,200.00,2011-08-31,Direct Donation,Payton White 1385,Personal,Unrestricted,Corporate,
FAM0902-20110930-0001,FAM0902,Unprompted,200.00,2011-09-30,Direct Donation,Payton White 1385,Personal,Unrestricted,Corporate,
FAM0902-20111031-0001,FAM0902,Unprompted,200.00,2011-10-31,Direct Donation,Payton White 1385,Personal,Unrestricted,Corporate,
FAM0902-20111130-0001,FAM0902,Noise Remediation Fundraiser,200.00,2011-11-30,Direct Donation,Payton White 1385,Personal,Unrestricted,Corporate,
FAM0902-20111231-0001,FAM0902,Noise Remediation Fundraiser,200.00,2011-12-31,Direct Donation,Payton White 1385,Personal,Unrestricted,Corporate,
FAM0902-20120131-0001,FAM0902,Noise Remediation Fundraiser,200.00,2012-01-31,Direct Donation,Payton White 1385,Personal,Unrestricted,Corporate,
FAM0902-20120229-0001,FAM0902,Noise Remediation Fundraiser,200.00,2012-02-29,Direct Donation,Payton White 1385,Personal,Unrestricted,Corporate,
FAM0902-20120331-0001,FAM0902,Noise Remediation Fundraiser,200.00,2012-03-31,Direct Donation,Payton White 1385,Personal,Unrestricted,Corporate,
FAM0902-20120430-0001,FAM0902,Noise Remediation Fundraiser,200.00,2012-04-30,Direct Donation,Payton White 1385,Personal,Unrestricted,Corporate,
FAM0902-20120531-0001,FAM0902,Noise Remediation Fundraiser,200.00,2012-05-31,Direct Donation,Payton White 1385,Personal,Unrestricted,LCV,
FAM0902-20120731-0001,FAM0902,Unprompted,200.00,2012-07-31,Direct Donation,Payton White 1385,Personal,Unrestricted,Corporate,
FAM0902-20120831-0001,FAM0902,Noise Remediation Fundraiser,200.00,2012-08-31,Direct Donation,Payton White 1385,Personal,Unrestricted,Corporate,
FAM0902-20120930-0001,FAM0902,Unprompted,200.00,2012-09-30,Direct Donation,Payton White 1385,Personal,Unrestricted,Corporate,
FAM0902-20120930-0002,FAM0902,Unprompted,200.00,2012-09-30,Direct Donation,Payton White 1385,Personal,Unrestricted,Corporate,
FAM0902-20121031-0001,FAM0902,Unprompted,200.00,2012-10-31,Direct Donation,Payton White 1385,Personal,Unrestricted,Corporate,
FAM0902-20121130-0001,FAM0902,Unprompted,200.00,2012-11-30,Direct Donation,Payton White 1385,Personal,Unrestricted,Corporate,
FAM0902-20121231-0001,FAM0902,Letter Campaign 2012,200.00,2012-12-31,Direct Donation,Payton White 1385,Personal,Unrestricted,Corporate,
FAM0902-20130228-0001,FAM0902,Letter Campaign 2012,400.00,2013-02-28,Direct Donation,Payton White 1385,Personal,Unrestricted,Corporate,
FAM0902-20130331-0001,FAM0902,Letter Campaign 2012,200.00,2013-03-31,Direct Donation,Payton White 1385,Personal,Unrestricted,Corporate,
FAM0902-20131223-0001,FAM0902,Letter Campaign 2013,1000.00,2013-12-23,Direct Donation,Payton White 1385,Personal,Unrestricted,Corporate,
FAM0902-20141218-0001,FAM0902,Letter Campaign 2014,1000.00,2014-12-18,Direct Donation,Payton White 1385,Personal,Unrestricted,LCV,
FAM0902-20141231-0001,FAM0902,Letter Campaign 2014,1500.00,2014-12-31,Direct Donation,Payton White 1385,Personal,Unrestricted,Corporate,
FAM0902-20151231-0001,FAM0902,Letter Campaign 2015,2500.00,2015-12-31,Direct Donation,Payton White 1385,Personal,Unrestricted,Corporate,
FAM0902-20161201-0001,FAM0902,Pat Griffith Scholarship Fund Creation,500.00,2016-12-01,Direct Donation,Payton White 1385,Personal,PGSF,Corporate,
FAM0902-20171225-0001,FAM0902,PGSF Letter Campaign 2017,100.00,2017-12-25,Direct Donation,Payton White 1385,Personal,PGSF,Corporate,
FAM0902-20171230-0001,FAM0902,PGSF Letter Campaign 2017,2500.00,2017-12-30,Direct Donation,Payton White 1385,Personal,PGSF,Corporate,
FAM0902-20190125-0001,FAM0902,In Pat's Memory,2500.00,2019-01-25,Direct Donation,Payton White 1385,Personal,PGSF,Corporate,
FAM0902-20200106-0001,FAM0902,In Pat's Memory,2500.00,2020-01-06,Direct Donation,Payton White 1385,Personal,Unrestricted,LCV,
FAM0902-20200129-0001,FAM0902,Training and Staff Development; CAAEYC 2020,250.00,2020-01-29,Direct Donation,Payton White 1385,Personal,Unrestricted,LCV,
